device,sample,times,process,task,step_length,stride_length,left_step_length,right_step_length,left_stride_length,right_stride_length,stride_speed,stride_time,step_width
MOCAP,sample01,time01,go,task_normal,0.47496484544444445,0.960047718125,0.4832232725,0.46835810380000015,0.9752047157500001,0.9448907205,1.8757861759556371,0.5125,0.19964759714763777
MOCAP,sample02,time01,go,task_normal,0.5202125477500001,1.0355535550000001,0.54443030625,0.49599478924999996,1.0404250955,1.0290581676666666,1.9929084190906308,0.5214285714285715,0.23286849916956517
MOCAP,sample03,time01,go,task_normal,0.4607571802500001,0.9311445860000002,0.4588043080000001,0.4627100525,0.9439848866666667,0.9215143605000001,1.7168947818858293,0.5428571428571428,0.1931621220111112
MOCAP,sample04,time01,go,task_normal,0.5429003733749999,1.1066447358571427,0.5824648895,0.50333585725,1.1344367213333333,1.0858007467499997,2.18404830231159,0.5071428571428572,0.196885024267857
MOCAP,sample05,time01,go,task_normal,0.5166552058571429,1.0473964590000002,0.5582182823333334,0.48548289850000004,1.057747665666667,1.0370452523333336,2.022516149529244,0.5183333333333334,0.2217785776997518
MOCAP,sample06,time01,go,task_normal,0.48981841422222216,0.9763715147500001,0.5101543836,0.4643984525,0.9780659192500001,0.9746771102499999,1.6883442346024358,0.57875,0.21202519320542626
MOCAP,sample07,time01,go,task_normal,0.5556090698571429,1.1158755493333332,0.5637028653333332,0.5495387232500001,1.1144079793333332,1.1173431193333334,2.2424350037535206,0.49833333333333335,0.21938799419337007
MOCAP,sample08,time01,go,task_normal,0.5184632235,1.0513505794285716,0.5139893875,0.5229370595,1.036926447,1.070582756,2.120613015835639,0.49714285714285705,0.20083473423277892
MOCAP,sample09,time01,go,task_normal,0.46974125350000007,0.9618120655555558,0.4858460966000001,0.4536364104,0.9897240137500001,0.9394825070000001,1.834241636171119,0.5255555555555556,0.18608722161235966
MOCAP,sample10,time01,go,task_normal,0.5547387967142857,1.1113142013333335,0.5591604059999999,0.5488433176666668,1.1069732893333333,1.1156551133333334,2.3341552039287436,0.4766666666666666,0.20885662795264648
MOCAP,sample11,time01,go,task_normal,0.5236716596666666,1.0472613257499999,0.5188366455999999,0.52971542725,1.0476013830000002,1.0469212684999998,1.8952535036594844,0.55375,0.23467751495560268
MOCAP,sample12,time01,go,task_normal,0.5874357342857142,1.1767276101666664,0.5833840027499999,0.5928380430000001,1.1740208636666667,1.1794343566666665,2.5046914303655594,0.47000000000000003,0.1887774118498584
MOCAP,sample13,time01,go,task_normal,0.5704542595000001,1.1588736212000001,0.5351733706666667,0.6057351483333333,1.1409085190000001,1.1858212745,2.1078982475768924,0.55,0.2043106615371901
MOCAP,sample14,time01,go,task_normal,0.553594537,1.1214649335714288,0.5648095030000001,0.542379571,1.140499413,1.107189074,1.9726253708583346,0.5700000000000001,0.19124626916738205
MOCAP,sample15,time01,go,task_normal,0.5336080821428573,1.0626020148333335,0.5321059760000001,0.5356108903333334,1.069710281,1.055493748666667,2.3016221226333653,0.4616666666666666,0.224047013716012
MOCAP,sample16,time01,go,task_normal,0.5090192610000001,1.0249204305000001,0.5187440083333335,0.5017257005,1.0297836303333334,1.0200572306666669,2.213361453738929,0.4633333333333334,0.17601717816265067
MOCAP,sample17,time01,go,task_normal,0.5682303096470587,1.1436793684537814,0.5563188975,0.5801417217941175,1.1364606192941176,1.1533043673333332,2.064732559966344,0.5542857142857142,0.22465672213924026
MOCAP,sample18,time01,go,task_normal,0.5127679821428571,1.0343936226666666,0.48552931725,0.549086202,1.0245906236666666,1.0441966216666667,1.905210771434153,0.5433333333333333,0.21938632563060687
MOCAP,sample19,time01,go,task_normal,0.541185168625,1.097341002,0.55633547475,0.5260348625,1.1173018883333334,1.08237033725,2.2339424832108254,0.49285714285714277,0.1819530722109375
MOCAP,sample20,time01,go,task_normal,0.5318728704285715,1.0901566521666666,0.5587902226666666,0.51168485625,1.1386261753333333,1.0416871289999998,2.1491559925467993,0.5083333333333334,0.20160249950136244
MOCAP,sample21,time01,go,task_normal,0.5531927826249999,1.1038566965714283,0.5600850145,0.54630055075,1.10638556525,1.1004848716666666,2.2614642043232327,0.49142857142857144,0.19766638102680953
MOCAP,sample22,time01,go,task_normal,0.5252886742857142,1.0678359674999998,0.555119603,0.50291547775,1.0857368056666665,1.0499351293333332,2.195645139202188,0.48666666666666664,0.24245988885795464
MOCAP,sample23,time01,go,task_normal,0.543799185,1.1181952388571428,0.5512979625000001,0.5363004075,1.158991064,1.0875983699999998,2.159731712987998,0.5171428571428571,0.20990462773924037
MOCAP,sample01,time01,go,task_text,0.4618662978,0.9138047313333332,0.4673991118,0.45633348379999994,0.9237325956,0.901394901,1.659102221176213,0.5533333333333333,0.1942053796290321
MOCAP,sample02,time01,go,task_text,0.4519164145,0.8998384787777778,0.4682710556,0.4355617733999999,0.903832829,0.8948455409999999,1.5380970267663328,0.5866666666666664,0.2521925496256324
MOCAP,sample03,time01,go,task_text,0.3782509038857143,0.7700382035396826,0.36854845717142865,0.3879533506,0.7869586982500001,0.7565018077714287,1.3589952939518963,0.5677777777777777,0.20943934073472945
MOCAP,sample04,time01,go,task_text,0.43352596099999996,0.8957795885000002,0.487897133,0.3900290234,0.92852890175,0.8630302752500001,1.5304789604097353,0.585,0.24167362294495423
MOCAP,sample05,time01,go,task_text,0.4426791671,0.8803329772222224,0.47051276500000017,0.41484556920000004,0.8853583342,0.874051281,1.3959336140747836,0.6322222222222224,0.24873718729752084
